 PLANO MUNICIPAL DE SAÚDE DE PARAUAPEBAS 2022 - 2025 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Diretriz 1 - Fortalecimento da Atenção Primária à Saúde e aprimoramento das Redes de Atenção à Saúde ampliando o acesso com qualidade e eficiência.;;;;;;;;;;;;;;;
Objetivo 1.1 - Aprimorar e fortalecer as ações e políticas estratégicas de saúde na atenção primária concomitante as redes de atenção em saúde, com o escopo de focar na promoção e prevenção da saúde.;;;;;;;;;;;;;;;
Descrição da Meta;;Meta         2022 ;Resultado RAG    2022;Meta 2023;1° RDQA;2° RDQA;3° RDQA;  RAG 2023;Meta 2024;1° RDQA;2° RDQA;3° RDQA;  RAG 2024;Meta  2025;  RAG 2025 1° Qd
1;Aumentar a Cobertura de Agentes Comunitários de Saúde de 67,09% em 2020 para 80,00% em 2025;70;67,09;75;67,09;81,47;81,47;81,47;80;73,85;75,14;72,73;72,73;80;
2;Realizar ações assistenciais básicas complementares para a população indígena 03 vezes ao ano;3;3;3;1;2;4;4;3;0;2;3;3;3;
3;Implantar assistência oftalmológica como ação integrante do Programa Saúde na Escola de 0% em 2020 para 100% das escolas pactauadas em 2025;25;41,29;50;41,29;48,04;39;39;75;43,24;48,64;48,64;48,64;100;
4;Aumentar a cobertura de acompanhamento das condicionalidades de saúde do Programa Auxílio Brasil (Programa Bolsa Família - BPF) de 60,94% em 2019 para 80% em 2025;65;72,42;70;44,48;68,89;71,56;71,56;75;54,24;72,04;72,56;72,56;80;
5;Aumentar a cobertura populacional estimada pela estratégia Saúde da Família de 62,95 em 2020 para 80,00 em 2025;70;84,79;72;69,29;88,6;73,85;73,85;75;89,65;74,48;82,37;82,37;80;
6;Ampliar a cobertura populacional estimada pelas equipes de Atenção Básica de 78,93% em 2020 para 92,00% em 2025;81;100;83;100;100;95,97;95,97;85;97,47;97,66;97,47;97,47;92;
7;Ampliar a assistência ofertada por equipe multiprofissional e interdisciplinar na APS de 59,00 em 2019 para 64,00 em 2025                                                                                                                                                                                                                                                       ;16,3;15,36;11,82;16,1;18,8;15,9;15,9;19,5;12,62;12,05;36,7;36,7;;
8;Ampliar oferta de exames laboratoriais para as unidades Básicas de saúde de de 30% em 2020 para 50% em 2025;35;20,76;40;67,44;50,55;51;51;45;10,12;5,97;15,18;15,18;50;
9;Reduzir em 10% o quantitativo de crianças integrantes no programa APLV até 2025  ;2,50;0;5;4,19;0,00;36,04;36,04;7,5;0,00;53,00;63;63;10;
10;Reduzir a tendência da gravidez de adolescentes de 10 a 19 anos de 15,30% em 2020 para 14,50% em 2025;15;13,48;14,7;15,16;13,7;14,26;14,26;14,6;14,95;14,57;12,83;12,83;14,5;
11;Aumentar a cobertura da vacina Poliomielite inativada e da Pentavalente de 36% em 2020 para 95% em 2025;95;47;95;51;60,47;60;60;95;60;61;70,01;70,01;95;
12;Ampliar o percentual de diabéticos com solicitação hemoglobina glicada de 11% em 2020 para 90% em 2025;50;28;60;33;31,23;31;31;80;32;23;26,49;26,49;90;
13;Aumentar a proporção de gestantes com pelo menos 06 (seis)consultas pré natal realizadas, sendo a primeira até a 20ª  semana de gestação de 38% em 2020 para 80% em 2025;60;48;66;43;36,98;42;42;72;44;51;45,99;45,99;80;
14;Aumentar a proporção de gestantes com realização de exames para síflis e HIV de 67% em 2020 para 95% em 2025;75;91;80;77;67,91;67;67;85;71;69;73,73;73,73;95;
15;Aumentar o percentual de pessoas hipertensas com pressão arterial aferida em cada semestre de 14% em 2020 para 90% em 2025;50;24;65;28;30,97;26;25;80;27;24;60,47;60,47;90;
16;Aumentar a proporção de gestantes com atendimento odontológico de 22% em 2020 para  90% em 2025;60;65;70;61;63,99;59;59;80;63;70;68,91;68,91;90;
17;Ampliar o acesso a atenção odontológica na atenção básica de 52,17 em 2020 para 80,00% em 2025;66;55,09;70;57,93;59,30 ;65,61;65,61;75;53,6;53,00 ;38,94;38,94;80;
18;Implantar nas Unidade Básicas de Saúde o Prontuário Eletrônico de 61% em 2020 para 100 % em 2025 ;100;75;100;75;100;100;100;100;100;100;100;100;100;
